numero_college,nom_etablissement,note_a_l_ecrit_g,va_de_la_note_g,pourcentage_hors_segpa_hors_ulis,pourcenetage_allemand_lv1,pourcentage_filles,ips,ecart_type_de_l_ips,ep_2022_2023,region_academique
0761704P,Collège Jules Ferry,9.5,-0.6,96.385542168674698795000,0.000000000000000000000,39.759036144578313253000,90.3,28.8,REP,NORMANDIE
0762080Y,Collège Henri Matisse,9.5,-0.4,77.777777777777777778000,0.000000000000000000000,47.222222222222222222000,82.7,23.4,REP,NORMANDIE
0761697G,Collège Claude Bernard,10.5,0.7,96.629213483146067416000,0.000000000000000000000,47.191011235955056180000,87.2,27.6,REP,NORMANDIE
0761698H,Collège Gérard Philipe,9.3,-0.1,92.857142857142857143000,0.000000000000000000000,41.428571428571428571000,81.6,25.6,REP,NORMANDIE
0761783A,Collège Jacques Monod,8.6,NULL,100.000000000000000000000,0.000000000000000000000,38.181818181818181818000,71.2,20.7,REP+,NORMANDIE
0760100W,Collège Boieldieu,11.0,0.6,95.652173913043478261000,0.000000000000000000000,60.869565217391304348000,75.6,23.1,REP+,NORMANDIE
0761745J,Collège Camille Claudel,9.4,0.2,100.000000000000000000000,0.000000000000000000000,46.428571428571428571000,81.7,30.0,REP,NORMANDIE
0761780X,Collège Georges Braque,8.7,0.5,95.238095238095238095000,0.000000000000000000000,55.238095238095238095000,76.1,23.6,REP+,NORMANDIE
0762133F,Collège Pablo Picasso,10.6,0.8,100.000000000000000000000,0.000000000000000000000,46.226415094339622642000,87.5,27.5,REP,NORMANDIE
0240119Z,Collège Eugène Le Roy,9.9,-0.7,87.407407407407407407000,0.000000000000000000000,52.592592592592592593000,90.1,30.4,HORS EP,NOUVELLE-AQUITAINE
0240047W,Collège Jean Moulin,11.0,0.3,83.495145631067961165000,0.000000000000000000000,47.572815533980582524000,90.3,30.3,HORS EP,NOUVELLE-AQUITAINE
0240055E,Collège Dronne-Double,9.4,-1.1,100.000000000000000000000,0.000000000000000000000,45.238095238095238095000,101.4,28.4,REP,NOUVELLE-AQUITAINE
0240106K,Collège Olympe de Gouges,9.7,-0.7,100.000000000000000000000,0.000000000000000000000,54.237288135593220339000,92.1,27.4,REP,NOUVELLE-AQUITAINE
0330140Y,Collège Grand Parc,9.3,0.2,88.198757763975155280000,0.000000000000000000000,48.447204968944099379000,74.0,25.2,REP,NOUVELLE-AQUITAINE
0332285E,Collège Jacques Ellul,10.0,0.3,77.108433734939759036000,0.000000000000000000000,48.192771084337349398000,95.9,39.5,REP,NOUVELLE-AQUITAINE
0331885V,Collège Jean Jaurès,9.8,-0.3,87.573964497041420118000,0.000000000000000000000,47.337278106508875740000,87.5,30.2,REP,NOUVELLE-AQUITAINE
0331895F,Collège Montaigne,9.4,0.1,97.560975609756097561000,0.000000000000000000000,41.463414634146341463000,82.7,27.2,REP+,NOUVELLE-AQUITAINE
0330163Y,Collège Élie Faure,9.9,0.3,87.969924812030075188000,2.255639097744360902000,46.616541353383458647000,87.9,29.1,REP,NOUVELLE-AQUITAINE
0470677F,Collège Ducos du Hauron,9.3,-0.7,98.657718120805369128000,0.000000000000000000000,54.362416107382550336000,87.0,32.6,REP,NOUVELLE-AQUITAINE
0470046V,Collège Jean Monnet,10.2,NULL,83.529411764705882353000,0.000000000000000000000,40.000000000000000000000,91.0,28.5,REP,NOUVELLE-AQUITAINE
0230507B,Collège Jean Picart le Doux,11.0,-0.3,79.710144927536231884000,0.000000000000000000000,49.275362318840579710000,95.8,26.7,REP,NOUVELLE-AQUITAINE
0870071E,Collège Pierre Donzelot,11.1,-0.7,100.000000000000000000000,0.000000000000000000000,44.186046511627906977000,111.0,33.6,HORS EP,NOUVELLE-AQUITAINE
0870729V,Collège Pierre de Ronsard,7.5,-1.1,100.000000000000000000000,0.000000000000000000000,50.847457627118644068000,73.8,22.9,REP+,NOUVELLE-AQUITAINE
0870791M,Collège Anatole France,9.7,-0.2,83.495145631067961165000,0.000000000000000000000,50.485436893203883495000,85.5,29.1,REP,NOUVELLE-AQUITAINE
0160884Z,Collège Marguerite de Valois,11.2,0.7,100.000000000000000000000,0.000000000000000000000,50.000000000000000000000,83.9,27.7,HORS EP,NOUVELLE-AQUITAINE
0160864C,Collège Claude Boucher,9.5,-0.7,85.454545454545454545000,0.000000000000000000000,52.727272727272727273000,83.6,26.6,REP,NOUVELLE-AQUITAINE
0170077S,Collège Pierre Mendès France,8.5,-0.7,99.099099099099099099000,0.000000000000000000000,56.756756756756756757000,70.9,19.6,REP+,NOUVELLE-AQUITAINE
0791002K,Collège Jean Rostand,10.5,-0.4,76.027397260273972603000,0.000000000000000000000,46.575342465753424658000,89.4,26.3,REP,NOUVELLE-AQUITAINE
0110672W,Collège Jules Verne,9.8,0.0,85.204081632653061224000,0.000000000000000000000,52.551020408163265306000,78.9,27.6,REP,OCCITANIE
0301013N,Collège Jean Moulin,8.6,-0.2,81.746031746031746032000,0.000000000000000000000,49.206349206349206349000,72.6,23.8,REP+,OCCITANIE
0301014P,Collège Denis Diderot,10.8,-0.1,87.837837837837837838000,0.000000000000000000000,49.324324324324324324000,86.5,32.5,REP,OCCITANIE
0300006U,Collège Florian,12.4,0.7,100.000000000000000000000,0.000000000000000000000,56.060606060606060606000,99.6,31.3,HORS EP,OCCITANIE
0301211D,Collège Le Bosquet,11.5,1.2,84.459459459459459459000,0.000000000000000000000,50.675675675675675676000,95.7,34.2,HORS EP,OCCITANIE
0300031W,Collège Georges Ville,11.0,-0.1,97.350993377483443709000,0.000000000000000000000,50.993377483443708609000,99.2,29.3,HORS EP,OCCITANIE
0340016H,Collège la Dullague,9.8,-0.4,97.727272727272727273000,0.000000000000000000000,50.757575757575757576000,81.6,28.8,HORS EP,OCCITANIE
